dataset_name,performance,time_used
abalone,-9999,-9999
airbnb_melbourne,0.3141169225031516,2409
airlines,-9999,-9999
bioresponse,-9999,-9999
camo_sem_seg,-9999,-9999
cd18,-9999,-9999
climate_fever,-9999,-9999
covertype,0.9410492930061476,9284
electricity_hourly,-9999,-9999
europeanflooddepth,-9999,-9999
fiqabeir,-9999,-9999
gnad10,0.1051878090050108,11281
ham10000,-9999,-9999
hateful_meme,0.38204833141542005,1945
isic2017,-9999,-9999
kick_starter_funding,-9999,-9999
memotion,-9999,-9999
mldoc,-9999,-9999
nn5_daily_without_missing,-9999,-9999
petfinder,-9999,-9999
road_segmentation,-9999,-9999
rvl_cdip,-9999,-9999
solar_10_minutes,-9999,-9999
women_clothing_review,-9999,-9999
yolanda,-9999,-9999